Date	Départ	Arrivée	Commentaires	regularity	obs_person	obs_animal	obs_weather	obs_malicious	obs_construction	obs_strike	obs_technical
2015-05	RENNES	PARIS MONTPARNASSE	Cette ligne a été retardée par : un accident de personne à Yvre-l'Evêque le 14/05 (15 TGV soit 1456 minutes), une disjonction sur la LGV le 25/05 (6 TGV soit 87 minutes), heurt d'un animal sur la LGV le 12/05 (30 TGV soit 1799 minutes) et heurt d'une voiture le 06/05 à Vitré (18 TGV soit 1704 minutes)		1	1	0	0	0	0	1
2015-06	ARRAS	PARIS NORD			0	0	0	0	0	0	0
2015-06	LYON PART DIEU	LILLE	"Toujours des travaux importants sur la LGV  entrainant des limitations de vitesse, essentiellement à Lapalud. Autres événements :
05/06 : plusieurs dérangements d'installations sur LGV Nord ainsi qu'à Lyon
08/06 : dérangements d'aiguilles à Arsy et à Sathonay 
13 et 15/06 : heurt de chevreuils sur LGV Nord
19:06 : panne d'une rame TGV avec rupture caténaire à Lunel
28/06 : colis suspects à Lille et Marseille + dérangement d'installation sur LGV SE
30/06 : vol de câble à Sainghin + effets de la chaleur
Pannes d'une  rame les 11, 13 ,  27, 30 juin"		1	1	1	0	1	0	1
2015-06	MACON LOCHE	PARIS LYON			0	0	0	0	0	0	0
2015-06	MARSEILLE ST CHARLES	LYON PART DIEU	Des travaux de modernisation de l'infrastructure ont perturbé la régularité de cette relation en Juin		0	0	0	0	1	0	0
2015-06	PARIS LYON	BELLEGARDE (AIN)			0	0	0	0	0	0	0
2015-06	PARIS LYON	CHAMBERY CHALLES LES EAUX			0	0	0	0	0	0	0
2015-06	PARIS LYON	LE CREUSOT MONTCEAU MONTCHANIN			0	0	0	0	0	0	0
2015-06	PARIS LYON	LYON PART DIEU			0	0	0	0	0	0	0
2015-06	PARIS LYON	MACON LOCHE			0	0	0	0	0	0	0
2015-06	PARIS LYON	MULHOUSE VILLE			0	0	0	0	0	0	0
2015-06	PARIS MONTPARNASSE	ST MALO	Cette OD a été touchée le 4 par un rail cassé couplé à un affaissement caténaire à la sortie de Paris (172 TGV; 7664mn), le 5 par diverses limitations de vitesses liées aux fortes chaleurs dont une à la sortie de Paris reduisant fortement le débit des trains (82TGV; 985mn), le 26 par la rupture d'un appareil de voie en sortie de ligne grande vitesse avant Le Mans (52TGV; 923mn), le 3 par l'arrêt de sécurité d'un train dans les tunnels avant Paris (22TGV; 1035mn) lié à une presence dans les voies en sortie de gare Montparnasse (16TGV; 419mn); le 9 par un dérangement d'installation sur la branche ouest de la ligne grande vitesse (18TGV; 169mn)		0	0	1	0	0	0	1
2015-06	STRASBOURG	NANTES			0	0	0	0	0	0	0
2015-06	STRASBOURG	PARIS EST			0	0	0	0	0	0	0
2015-07	ANGOULEME	PARIS MONTPARNASSE	Cette ligne a été impactée par plusieurs incendies aux abords des voies, notamment dans la région de VENDÔME : le 10/07 (53 TGV retardés de 12' à 3h50), le 11/07 (20 TGV retardés de 11' à 2h47), le 17/07 (46 TGV retardés de 16' à 4h56), et un autre sur LGV le 21/07 (20 TGV retardés de 15' à 2h20). La présence de personnes dans les voies à l'entrée de PARIS a également entraîné de nombreux retards : le 14/07 (11 TGV retardés de 11' à 47'), le 18/07 (31 TGV retardés de 15' à 1h49). Les circulations ont été retardées par des dérangements d'installations : le 01/07 à l'entrée de PARIS en raison des fortes chaleurs (26 TGV retardés de 9' à 1h42), le 03/07 sur LGV (12 TGV retardés de 6' à 44'), le 11/07 sur LGV (38 TGV retardés de 6' à 66'), le 19/07 à l'entrée de PARIS (10 TGV retardés de 11' à 25') ; et par la panne de trains : le 18/07 sur LGV (22 TGV de 16' à 2h43), le 28/07 à l'entrée de PARIS (10 TGV de 14' à 2h00). Enfin, un incident caténaire au sud de TOURS à fortement perturbé la journée du 30/07 (53 TGV retardés de 6' à 6h30).		1	0	1	0	0	0	1
2015-07	CHAMBERY CHALLES LES EAUX	PARIS LYON	Un heurt d'animal sauvage et un envahissement des voies par des manifestants ont généré quelques retards importants en juillet		0	1	0	0	0	1	0
2015-07	LE CREUSOT MONTCEAU MONTCHANIN	PARIS LYON			0	0	0	0	0	0	0
2015-07	METZ	PARIS EST			0	0	0	0	0	0	0
