Date	year	month	line_section	regularity
2012-02	2012	2	S1_2_1_1	0.8389830508474576
2012-03	2012	3	A1	0.9147824520313486
2012-03	2012	3	A1_1	0.9362889983579639
2012-03	2012	3	A1_1_1	0.9595876288659794
2012-03	2012	3	A1_1_1_1	0.98125
2012-03	2012	3	A1_1_1_2	0.9803370786516854
2012-03	2012	3	A1_1_1_3	0.9641744548286605
2012-03	2012	3	A1_1_1_3_1	0.9662162162162162
2012-03	2012	3	A1_1_2	0.9325591782045556
2012-03	2012	3	A1_1_2_1	0.9363984674329502
2012-03	2012	3	A1_2	0.8886449810417083
2012-03	2012	3	A1_2_1	0.8963229195465856
2012-03	2012	3	A1_2_1_1	0.9144893111638955
2012-03	2012	3	A1_2_1_2	0.8895401262398557
2012-03	2012	3	A1_2_1_2_1	0.891218872870249
2012-03	2012	3	A1_2_1_2_1_1	0.8291666666666666
2012-03	2012	3	E1	0.9346334416756952
2012-03	2012	3	E1_1	0.9372807017543859
2012-03	2012	3	E1_1_1	0.9222941720629048
2012-03	2012	3	N1	0.8803034560269739
2012-03	2012	3	N1_1	0.8744075829383886
2012-03	2012	3	N1_2	0.8700140778977006
2012-03	2012	3	N1_3	0.904572564612326
2012-03	2012	3	N1_3_1	0.942652329749104
2012-03	2012	3	S1	0.910643583572704
2012-03	2012	3	S1_1	0.9100865083747469
2012-03	2012	3	S1_1_1	0.9122773415054587
2012-03	2012	3	S1_1_1_1	0.9105901053049871
2012-03	2012	3	S1_1_1_1_1	0.8868778280542986
2012-03	2012	3	S1_1_1_1_2	0.8903739879192906
2012-03	2012	3	S1_1_1_1_2_1	0.88998899889989
2012-03	2012	3	S1_1_1_1_2_1_1	0.9026186579378068
2012-03	2012	3	S1_1_1_1_2_1_1_1	0.9025374855824683
2012-03	2012	3	S1_1_1_1_2_1_1_1_1	0.9155405405405406
2012-03	2012	3	S1_1_1_1_2_1_2	0.8753954733511804
2012-03	2012	3	S1_1_1_1_2_1_2_1	0.8684931506849315
2012-03	2012	3	S1_1_1_1_2_1_2_1_1	0.8628205128205129
2012-03	2012	3	S1_1_1_1_2_1_2_1_1_1	0.840625
2012-03	2012	3	S1_1_1_1_3	0.906188605108055
2012-03	2012	3	S1_1_1_1_3_1	0.9412915851272016
2012-03	2012	3	S1_1_1_1_3_2	0.9328537170263789
2012-03	2012	3	S1_1_1_1_3_3	0.9113475177304965
2012-03	2012	3	S1_2	0.9136476426799007
2012-03	2012	3	S1_2_1	0.9064814814814814
2012-03	2012	3	S1_2_1_1	0.9111470113085622
2012-04	2012	4	A1	0.9277793309104464
2012-04	2012	4	A1_1	0.9474576271186441
2012-04	2012	4	A1_1_1	0.9571608567828643
2012-04	2012	4	A1_1_1_1	0.9802631578947368
2012-04	2012	4	A1_1_1_2	0.9777777777777777
2012-04	2012	4	A1_1_1_3	0.9447852760736196
2012-04	2012	4	A1_1_1_3_1	0.9471947194719472
2012-04	2012	4	A1_1_2	0.9541198501872659
2012-04	2012	4	A1_1_2_1	0.959709911361805
2012-04	2012	4	A1_2	0.9037466363071828
2012-04	2012	4	A1_2_1	0.9099175902244956
2012-04	2012	4	A1_2_1_1	0.9148936170212766
2012-04	2012	4	A1_2_1_2	0.9093023255813953
2012-04	2012	4	A1_2_1_2_1	0.9231805929919137
2012-04	2012	4	A1_2_1_2_1_1	0.9291338582677166
2012-04	2012	4	E1	0.9420289855072463
2012-04	2012	4	E1_1	0.9391891891891891
2012-04	2012	4	E1_1_1	0.9130850047755492
2012-04	2012	4	N1	0.8659824046920821
2012-04	2012	4	N1_1	0.8233830845771144
2012-04	2012	4	N1_2	0.870983446932814
2012-04	2012	4	N1_3	0.8731656184486374
2012-04	2012	4	N1_3_1	0.9505703422053232
2012-04	2012	4	S1	0.8937125748502994
2012-04	2012	4	S1_1	0.8936624292474715
2012-04	2012	4	S1_1_1	0.8948485433146827
2012-04	2012	4	S1_1_1_1	0.8935064935064935
2012-04	2012	4	S1_1_1_1_1	0.9074889867841409
2012-04	2012	4	S1_1_1_1_2	0.8572149344096872
2012-04	2012	4	S1_1_1_1_2_1	0.8558364712210866
2012-04	2012	4	S1_1_1_1_2_1_1	0.8814432989690721
2012-04	2012	4	S1_1_1_1_2_1_1_1	0.8795045045045045
2012-04	2012	4	S1_1_1_1_2_1_1_1_1	0.9253246753246753
2012-04	2012	4	S1_1_1_1_2_1_2	0.8382000957395883
2012-04	2012	4	S1_1_1_1_2_1_2_1	0.8337850045167119
2012-04	2012	4	S1_1_1_1_2_1_2_1_1	0.8072009291521487
2012-04	2012	4	S1_1_1_1_2_1_2_1_1_1	0.8005115089514067
2012-04	2012	4	S1_1_1_1_3	0.9269875608436993
2012-04	2012	4	S1_1_1_1_3_1	0.9230769230769231
2012-04	2012	4	S1_1_1_1_3_2	0.9390862944162437
2012-04	2012	4	S1_1_1_1_3_3	0.9421641791044776
2012-04	2012	4	S1_2	0.8939947780678851
2012-04	2012	4	S1_2_1	0.8896418199419167
2012-04	2012	4	S1_2_1_1	0.8877721943048577
2012-05	2012	5	A1	0.9037358979101165
2012-05	2012	5	A1_1	0.9212769513621929
2012-05	2012	5	A1_1_1	0.9144162858329872
2012-05	2012	5	A1_1_1_1	0.9177215189873418
2012-05	2012	5	A1_1_1_2	0.9302325581395349
2012-05	2012	5	A1_1_1_3	0.9044006069802731
2012-05	2012	5	A1_1_1_3_1	0.9036544850498339
2012-05	2012	5	A1_1_2	0.9501845018450185
2012-05	2012	5	A1_1_2_1	0.9553784860557769
2012-05	2012	5	A1_2	0.8820120057959014
2012-05	2012	5	A1_2_1	0.8858200455580866
2012-05	2012	5	A1_2_1_1	0.84688995215311
2012-05	2012	5	A1_2_1_2	0.8922071861875875
2012-05	2012	5	A1_2_1_2_1	0.8983164983164983
2012-05	2012	5	A1_2_1_2_1_1	0.8941176470588236
2012-05	2012	5	E1	0.9201012292118582
2012-05	2012	5	E1_1	0.9139973672663448
2012-05	2012	5	E1_1_1	0.8703358208955224
2012-05	2012	5	N1	0.8827723901882487
2012-05	2012	5	N1_1	0.894484412470024
2012-05	2012	5	N1_2	0.8680227057710501
